nba_player_id,team,player,espn_athlete_id,updated_at
1628378,CLE,Donovan Mitchell,3908809,2026-03-09T11:42:27
1630596,CLE,Evan Mobley,4432158,2026-03-09T11:42:27
201935,CLE,James Harden,3992,2026-03-09T11:42:27
1642845,PHI,VJ Edgecombe,5124612,2026-03-09T11:42:27
1626162,PHI,Kelly Oubre,3133603,2026-03-09T11:42:27
1629656,PHI,Quentin Grimes,4397014,2026-03-09T11:42:27
1642281,CLE,Jaylon Tyson,4683747,2026-03-09T11:42:27
1631133,PHI,Jabari Walker,4432446,2026-03-09T11:42:28
1631230,PHI,Dominick Barlow,4870562,2026-03-09T11:42:28
1630241,CLE,Sam Merrill,4066757,2026-03-09T11:42:28
203083,PHI,Andre Drummond,6585,2026-03-09T11:42:28
1641737,PHI,Adem Bona,5105637,2026-03-09T11:42:28
1631165,CLE,Keon Ellis,4702177,2026-03-09T11:42:28
1629731,CLE,Dean Wade,3912848,2026-03-09T11:42:28
1629651,BKN,Nic Claxton,4278067,2026-03-09T11:42:31
1630549,BKN,Day'Ron Sharpe,4432194,2026-03-09T11:42:31
1641765,MEM,Olivier-Maxence Prosper,4595400,2026-03-09T11:42:31
1642377,MEM,Jaylen Wells,5112087,2026-03-09T11:42:31
1641730,BKN,Noah Clowney,4712896,2026-03-09T11:42:31
1642285,MEM,Cam Spencer,4433083,2026-03-09T11:42:31
1628983,OKC,Shai Gilgeous-Alexander,4278073,2026-03-09T11:42:31
1631096,OKC,Chet Holmgren,4433255,2026-03-09T11:42:31
1627750,DEN,Jamal Murray,3936299,2026-03-09T11:42:31
1631119,OKC,Jaylin Williams,4432823,2026-03-09T11:42:31
203932,DEN,Aaron Gordon,3064290,2026-03-09T11:42:31
1631128,DEN,Christian Braun,4431767,2026-03-09T11:42:31
1641717,OKC,Cason Wallace,4683692,2026-03-09T11:42:31
1629661,DEN,Cameron Johnson,3138196,2026-03-09T11:42:31
1641713,MEM,GG Jackson,5105550,2026-03-09T11:42:31
1642849,BKN,Nolan Traore,5279130,2026-03-09T11:42:31
1629611,BKN,Terance Mann,3907823,2026-03-09T11:42:32
1642874,BKN,Danny Wolf,5107173,2026-03-09T11:42:33
1629652,OKC,Luguentz Dort,4397020,2026-03-09T11:42:34
1628971,DEN,Bruce Brown,4065670,2026-03-09T11:42:34
1627936,OKC,Alex Caruso,2991350,2026-03-09T11:42:34
1641764,GSW,Brandin Podziemski,4709138,2026-03-09T11:42:36
1641718,UTA,Keyonte George,4433627,2026-03-09T11:42:36
1642271,UTA,Kyle Filipowski,4684793,2026-03-09T11:42:36
1630611,GSW,Gui Santos,4997536,2026-03-09T11:42:36
1629001,GSW,De'Anthony Melton,4066436,2026-03-09T11:42:36
1642846,UTA,Ace Bailey,4873138,2026-03-09T11:42:36
1630311,GSW,Pat Spencer,4592714,2026-03-09T11:42:36
203110,GSW,Draymond Green,6589,2026-03-09T11:42:36
1641729,UTA,Brice Sensabaugh,5105839,2026-03-09T11:42:36
1642262,UTA,Cody Williams,4895758,2026-03-09T11:42:37
1629723,UTA,John Konchar,3134932,2026-03-09T11:42:37
202695,LAC,Kawhi Leonard,6450,2026-03-09T11:42:39
1628973,NYK,Jalen Brunson,3934672,2026-03-09T11:42:39
1626157,NYK,Karl-Anthony Towns,3136195,2026-03-09T11:42:39
1628969,NYK,Mikal Bridges,3147657,2026-03-09T11:42:39
1628384,NYK,OG Anunoby,3934719,2026-03-09T11:42:39
1629636,LAC,Darius Garland,4396907,2026-03-09T11:42:39
1628404,NYK,Josh Hart,3062679,2026-03-09T11:42:39
1631097,LAC,Bennedict Mathurin,4683634,2026-03-09T11:42:39
1627884,LAC,Derrick Jones,3936099,2026-03-09T11:42:39
201572,LAC,Brook Lopez,3448,2026-03-09T11:42:40
1627739,LAC,Kris Dunn,2991139,2026-03-09T11:42:40
1629013,NYK,Landry Shamet,3914044,2026-03-09T11:42:41
1629011,NYK,Mitchell Robinson,4351852,2026-03-09T11:42:43
203999,OKC,Shai Gilgeous-Alexander,4278073,2026-03-09T11:42:44
1641757,LAC,Jordan Miller,4396818,2026-03-09T12:16:02
1630198,OKC,Isaiah Joe,4395702,2026-03-09T17:11:12
1642272,OKC,Jared McCain,4683778,2026-03-09T17:11:13
